INGR_KOR_NAME,INGR_ENG_NAME,CAS_NO,ORIGIN_MAJOR_KOR_NAME,INGR_SYNONYM
커먼자스민꽃가루,Jasminum Officinale (Jasmine) Flower Powder,,이 원료는 커먼자스민(Jasmine) Jasminum officinale의 꽃을 건조하여 가루로 한 것이다.,쟈스민꽃가루
스페인자스민꽃왁스,Jasminum Grandiflorum (Jasmine) Flower Wax,,이 원료는 스페인자스민(Jasmine) Jasminum grandiflorum의 꽃에서 얻은 왁스이다.,쟈스민꽃왁스
녹색204호,"Pyranine Conc,CI 59040",,이 원료는 화학적으로 다음의 구조를 갖는 피렌계 색소이다.,
커먼자스민꽃/잎추출물,Jasminum Officinale (Jasmine) Flower/Leaf Extract,,이 원료는 커먼자스민(Jasmine) Jasminum officinale의 꽃 및 잎에서 추출한 것이다,쟈스민꽃/잎추출물
커먼자스민꽃추출물,Jasminum Officinale (Jasmine) Flower Extract,,이 원료는 커먼자스민(Jasmine) Jasminum officinale의 꽃에서 추출한 것이다.,쟈스민꽃추출물
커먼자스민오일,Jasminum Officinale (Jasmine) Oil,,이 원료는 커먼자스민(Jasmine) Jasminum officinale에서 얻은 휘발성 오일이다.,쟈스민오일
커먼자스민추출물,Jasminum Officinale (Jasmine) Extract,,이 원료는 쟈스민(Jasmine) Jasminum officinale의 전초에서 추출한 것이다.,쟈스민추출물
가죽나무추출물,Ailanthus Altissima Bark Extract,,이 원료는 가죽나무 Ailanthus altissima의 나무 껍질에서 추출한 것이다.,저백피추출물
적색2호,"Amaranth,CI 16185",,이 원료는 화학적으로 다음의 구조를 갖는 모노아조계 색소이다.,
적색102호,"New Coccine,CI 16255",,이 원료는 화학적으로 다음의 구조를 갖는 모노아조계 색소이다.,
적색103호의(1),"Eosine YS,CI 45380",,이 원료는 화학적으로 다음의 구조를 갖는 잔텐계 색소이다.,
적색104호의(1),"Phloxine B,CI 45410",,이 원료는 화학적으로 다음의 구조를 갖는 잔텐계 색소이다.,
적색104호의(2),"Phloxine BK,CI 45410",,이 원료는 화학적으로 다음의 구조를 갖는 잔텐계 색소이다.,
녹색401호,"Naphthol Green B,CI 10020",,이 원료는 화학적으로 다음의 구조를 갖는 나이트로소계 색소이다.,
적색106호,"Acid Red,CI 45100",,이 원료는 화학적으로 다음의 구조를 갖는 잔텐계 색소이다.,
적색40호,"Allura Red AC,CI 16035",,이 원료는 화학적으로 다음의 구조를 갖는 모노아조계 색소이다.,
적색201호,"Lithol Rubine B,CI 15850",,이 원료는 화학적으로 다음의 구조를 갖는 모노아조계 색소이다.,
적색202호,"Lithol Rubine BCA,CI 15850:1",,이 원료는 화학적으로 다음의 구조를 갖는 모노아조계 색소이다.,
적색205호,"Lithol Red,CI 15630",,이 원료는 화학적으로 다음의 구조를 갖는 모노아조계 색소이다.,
적색206호,"Lithol Red CA,CI 15630:2",,이 원료는 화학적으로 다음의 구조를 갖는 모노아조계 색소이다.,
적색207호,"Lithol Red BA,CI 15630:1",,이 원료는 화학적으로 다음의 구조를 갖는 모노아조계 색소이다.,
적색208호,"Lithol Red SR,CI 15630:3",,이 원료는 화학적으로 다음의 구조를 갖는 모노아조계 색소이다.,
적색218호,"Tetrachlorotetrabromofluorescein,CI 45410:1",,이 원료는 화학적으로 다음의 구조를 갖는 잔텐계 색소이다.,
적색219호,"Brilliant Lake Red R,CI 15800",,이 원료는 화학적으로 다음의 구조를 갖는 모노아조계 색소이다.,
적색220호,"Deep Maroon,CI 15800",,이 원료는 화학적으로 다음의 구조를 갖는 모노아조계 색소이다.,
적색221호,"Toluidine Red,CI 12120",,이 원료는 화학적으로 다음의 구조를 갖는 나이트로소계 색소이다.,
적색223호,"Tetrabromofluorescein,CI 45380:2",,이 원료는 화학적으로 다음의 구조를 갖는 잔텐계 색소이다.,
녹용추출물,Velvet Extract,,이 원료는 다양한 사슴 (붉은 사슴 Cervus elaphus 등)의 녹용에서 추출한 것이다.,
적색225호,"Sudan III,CI 26100",,이 원료는 화학적으로 다음의 구조를 갖는 다이사조계 색소이다.,
적색226호,"Helindone Pink CN,CI 73360",,이 원료는 다음의 구조를 갖는 화학적으로 티오인디고이드계 색소이다.,
적색227호,"Fast Acid Magenta,CI 17200",,이 원료는 화학적으로 다음의 구조를 갖는 모노아조계 색소이다.,
적색228호,"Permaton Red,CI 12085",,이 원료는 화학적으로 다음의 구조를 갖는 모노아조계 색소이다.,
적색230호의(2),"Eosine Y나,CI 45380",,이 원료는 화학적으로 다음의 구조를 갖는 잔텐계 색소이다.,
적색401호,"Violamine R,CI 45190",,이 원료는 화학적으로 다음의 구조를 갖는 잔텐계 색소이다.,
적색405호,"Permanent Red F5R,CI 15865:2",,이 원료는 화학적으로 다음의 구조를 갖는 모노아조계 색소이다.,
녹차가루,Camellia Sinensis Leaf Powder,,이 원료는 차나무(녹차) Camellia Sinensis의 건조된 토엽에서 얻은 가루이다.,
적색504호,"Ponceau SX,CI 14700",,이 원료는 화학적으로 다음의 구조를 갖는 모노아조계 색소이다.,
적색506호,"Fast Red S,CI 15620",,이 원료는 화학적으로 다음의 구조를 갖는 모노아조계 색소이다.,
적색산화철,"Iron Oxide Red,Ferric Oxide,CI 77491",,"이 원료는 무기색소로 분류되며, 주로 다음의 구조를 갖는 페릭옥사이드로 구성되어 있다.",
전판홍경천뿌리추출물,Rhodiola Sacra Root Extract,,이 원료는 전판홍경천 (Rhodiola sacra)의 뿌리에서 추출한 것이다.,
전호추출물,Anthriscus Sylvestris Extract,,이 원료는 전호 (Anthriscus sylvestris)의 뿌리를 제외한 지상부에서 추출한 것이다.,
두톱상어가죽추출물,Spotted Dogfish Skin Extract,,이 원료는 두톱상어 Spotted dogfish의 피부에서 추출한 것이다.,점상어가죽추출물
접시꽃추출물,Althaea Rosea Flower Extract,,이 원료는 접시꽃 (Althaea rosea)의 꽃에서 추출한 것이다.,
다닥냉이씨추출물,Lepidium Apetalum Seed Extract,,이 원료는 다닥냉이 Lepidium apetalum의 씨에서 추출한 것이다.,정력자추출물
정제수,"Water,Aqua",,이 원료는 상수를 증류하거나 이온교환수지 등을 통하여 정제한 물이다.,
와일드제라늄오일,Geranium Maculatum Oil,,이 원료는 와일드제라늄 Geranium maculatum에서 얻은 휘발성 오일이다.,제라늄오일
녹차꽃추출물,Camellia Sinensis Flower Extract,,이 원료는 차나무(녹차) (Camellia sinensis)의 꽃에서 추출한 것이다.,
와일드제라늄추출물,Geranium Maculatum Extract,,이 원료는 와일드제라늄 Geranium maculatum의 전초에서 추출한 것이다.,제라늄추출물
제라니올,Geraniol,,이 원료는 다음의 구조를 갖는 터펜알코올이다.,
제라닐아세테이트,Geranyl Acetate,,이 원료는 제라니올과 아세틱애씨드의 에스터이다.,
제비꽃꽃추출물,Viola Mandshurica Flower Extract,,이 원료는 제비꽃 Viola mandshurica에서 추출한 것이다.,제비꽃추출물
제올라이트,Zeolite,,이 원료는 수화된 알칼리알루미늄실리케이트이다.,
제인,Zein,,이 원료는 옥수수 (Zea mays)에서 얻은 알코올에 녹는 단백질이다.,
코키네움국화꽃추출물,Chrysanthemum Coccineum Flower Extract,,이 원료는 코키네움국화 Chrysanthemum coccineum의 꽃에서 추출한 것이다.,제충국꽃추출물
젤라틴,Gelatin,,"이 원료는 동물의 피부, 흰 연결조직 및 뼈에서 얻은 콜라겐의 부분 가수분해로 얻은 물질이다.",
젤란검,Gellan Gum,,이 원료는 탄수화물을 (Pseudomonas elodea)로 순수배양 발효하여 얻은 고분자량의 헤테로폴리사카라이드검이다.,
조구등추출물,Uncaria Sinensis Extract,,이 원료는 조구등 (Uncaria sinensis)의 전초에서 추출한 것이다.,
강낭콩씨추출물,Phaseolus Vulgaris Seed Extract,,이 원료는 강낭콩(Kidney Bean) Phaseolus vulgaris의 씨에서 추출한 것이다.,강낭콩추출물
녹차수,Camellia Sinensis Leaf Water,,이 원료는 차나무(녹차) Camellia Sinensis의 잎을 수증기 증류하여 얻은 수용액이다.,
조록나무추출물,Distylium Racemosum Extract,,이 원료는 조록나무 Distylium racemosum의 가지 및 잎에서 추출한 것이다.,
박추출물,Cucurbitaceae (Gourd) Extract,,이 원료는 박과 Cucurbitaceae의 다양한종에서 추출한 것이다.,조롱박추출물
조류,Algae,,이 원료는 여러가지 종의 조류에서 얻은 식물성 물질이다.,
조류올리고사카라이드,Algae Oligosaccharides,,이 원료는 우뭇가사리 (Gelidium) 및 다른 조류 algae에서 얻은 한천을 효소 분해하여 얻은 올리고사카라이드이다.,
조름나물잎추출물,Menyanthes Trifoliata Leaf Extract,,이 원료는 조름나무 (Menyanthes trifoliata)의 건조한 잎에서 추출한 것이다.,
알프스민들레추출물,Hieracium Pilosella Extract,,이 원료는 알프스민들레 Hieracium pilosella에서 추출한 것이다.,조밥나물추출물
조슈아나무뿌리추출물,Yucca Brevifolia Root Extract,,이 원료는 조슈아나무 (Yucca brevifolia)의 뿌리에서 추출한 것이다.,
조이퍼퓸트리꽃오일,Magnolia Champaca Flower Oil,,이 원료는 조이퍼퓸트리 (Magnolia champaca)의 꽃에서 추출한 휘발성 오일이다.,
조직배양삼,Tissue Cultured Ginseng Adventitious Roots,,,
조직배양인삼부정근추출물,,,,조직배양삼추출물
녹차씨오일,Camellia Sinensis Seed Oil,,이 원료는 차나무(녹차) Camellia Sinensis의 씨로 부터 압축하여 얻은 오일이다.,
족도리풀,,,이 원료는 족도리풀 Asarum Sieboldii이다.,족두리풀
트레블러스조이잎추출물,Clematis Vitalba Leaf Extract,,이 원료는 트레블러스조이 Clematis vitalba의 잎에서 추출한 것이다.,좀사위질빵잎추출물
라디아타유카리꽃/잎/줄기오일,Eucalyptus Radiata Flower/Leaf/Stem Oil,,"이 원료는 라디아타유카리 Eucalyptus radiata의 꽃, 잎 및 줄기에서 얻은 휘발성 오일이다.",좁은잎페퍼민트검꽃/잎/줄기오일
라디아타유카리꽃/잎/줄기추출물,Eucalyptus Radiata Flower/Leaf/Stem Extract,,"이 원료는 라디아타유카리 Eucalyptus radiata의 꽃, 잎 및 줄기에서 추출한 것이다.",좁은잎페퍼민트검꽃/잎/줄기추출물
라디아타유카리잎오일,Eucalyptus Radiata Leaf Oil,,이 원료는 라디아타유카리 Eucalyptus radiata의 잎에서 얻은 휘발성 오일이다.,좁은잎페퍼민트검잎오일
라디아타유카리잎/줄기오일,Eucalyptus Radiata Leaf/Stem Oil,,이 원료는 라디아타유카리 Eucalyptus radiata의 잎 및 줄기에서 얻은 휘발성 오일이다.,좁은잎페퍼민트검잎/줄기오일
종대황뿌리/잎줄기/줄기추출물,Rheum Undulatum Root/Stalk/Stem Extract,,"이 원료는 종대황 Rheum undulatum의 뿌리, 줄기 및 잎줄기에서 추출한 것이다",종대황뿌리/줄기/가지추출물
주루베바추출물,Solanum Paniculatum Extract,,이 원료는 주루베바 (Solanum paniculatum)를 추출한 것이다.,
주목잎추출물,Taxus Cuspidata Leaf Extract,,이 원료는 주목 (Taxus cuspidata)의 잎에서 추출한 것이다.,
허니로커스트씨추출물,Gleditsia Triacanthos Seed Extract,,이 원료는 허니로커스트 Gleditsia triacanthos의 씨에서 추출한 것이다.,주엽나무씨추출물
녹차씨오일/팜오일아미노프로판다이올에스터,Camellia Sinensis Seed Oil/Palm Oil Aminopropanediol Esters,,이 원료는 아미노프로파네디올을 가진 오일팜오일과 녹차씨오일의 에스터교환반응으로 얻은 것이다.,녹차씨오일/팜오일아미노프로판디올에스터
죽절삼뿌리추출물,Panax Japonicus Root Extract,,이 원료는 죽절삼 Panax Japonicus의 뿌리 및 뿌리줄기에서 추출한 것이다.,죽절삼추출물
죽절초추출물,Chloranthus Glaber Extract,,이 원료는 죽절초 Chloranthus glaber의 전초에서 추출한 것이다.,
줄맨드라미씨추출물,Amaranthus Caudatus Seed Extract,,이 원료는 줄맨드라미 (Amaranthus caudatus)의 씨에서 추출한 것이다.,
중국고본뿌리추출물,Ligusticum Sinense Root Extract,,이 원료는 중국고본 (Ligusticum sinense)의 뿌리와 뿌리줄기에서 추출한 것이다.,
중국천궁추출물,Ligusticum Chuanxiong Extract,,이 원료는 중국천궁 Ligusticum chuanxiong의 전초에서 추출한 것이다.,중국로베지추출물
중국목련나무껍질추출물,Magnolia Biondii Bark Extract,,이 원료는 중국목련 Magnolia biondii의 나무껍질에서 추출한 것이다.,중국목련수피추출물
장엽복분자추출물,Rubus Chingii Fruit Extract,,이 원료는 장엽복분자 Rubus chingii의 열매에서 추출한 것이다.,중국산복분자추출물
중국으아리뿌리추출물,Clematis Chinensis Root Extract,,이 원료는 중국으아리 (Clematis chinensis)의 뿌리에서 추출한 것이다.,
중국패모비늘줄기추출물,Fritillaria Verticillata Bulb Extract,,이 원료는 중국패모 (Fritillaria verticillata)의 비늘줄기에서 추출한 것이다.,
피라칸타 포르투네아나열매추출물,Pyracantha Fortuneana Fruit Extract,,이 원료는 Pyracantha fortuneana의 열매에서 추출한 것이다.,중국피라칸타열매추출물
녹차씨추출물,Camellia Sinensis Seed Extract,,이 원료는 차나무(녹차) Camellia Sinensis의 씨에서 추출한 것이다.,
콥티스뿌리/줄기가루,Coptis Chinensis Root/Stalk Powder,,이 원료는 콥티스 Coptis chinensis의 뿌리 및 줄기를 건조하여 가루로 한 것이다.,중국황련뿌리/줄기가루
구기자나무뿌리추출물,Lycium Chinense Root Extract,,이 원료는 구기자나무 Lycium chinense의 뿌리에서 추출한 것이다.,지골피추출물
헛개나무열매추출물,Hovenia Dulcis Fruit Extract,,이 원료는 헛개나무 Hovenia dulcis의 열매에서 추출한 것이다.,지구자추출물
지모뿌리추출물,Anemarrhena Asphodeloides Root Extract,,이 원료는 지모 Anemarrhena asphodeloides의 뿌리에서 추출한 것이다.,지모추출물
댑싸리열매추출물,Kochia Scoparia Fruit Extract,,이 원료는 댑싸리 Kochia scoparia의 열매에서 추출한 것이다.,지부자추출물
탱자추출물,Poncirus Trifoliata Fruit Extract,,이 원료는 탱자나무 Poncirus trifoliata의 열매에서 추출한 것이다.,지실추출물
지유글리코사이드I,Ziyu Glycoside I,,이 원료는 오이풀 Sanguisorba officinalis의 뿌리에서 추출한 사포닌이다.,지유글리코사이드 I
그롬웰뿌리추출물,Lithospermum Officinale Root Extract,,이 원료는 그롬웰 Lithospermum officinale의 뿌리에서 추출한 것이다.,지치뿌리추출물
